Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_4_Replicate_24	-731.74	1479.48	1156.58	639.66	0.5189,0.2952,0.2606,0.2569,12.9927,3.1788,1.2262,0.2409
anc_asym_mig_size	Round_4_Replicate_25	-629.67	1275.34	941.49	641.35	0.6112,0.4477,0.1818,0.1614,16.8714,4.5682,1.0685,0.184
anc_asym_mig_size	Round_4_Replicate_26	-722.48	1460.96	948.29	487.03	1.1807,0.5445,0.1481,0.2911,12.6421,3.6325,0.3713,0.1762
anc_asym_mig_size	Round_4_Replicate_27	-650.18	1316.36	1147.66	536.2	0.5512,0.8104,0.1998,0.1272,10.9357,3.4729,0.5065,0.179
anc_asym_mig_size	Round_4_Replicate_28	-787.93	1591.86	2319.35	1008.22	0.2941,0.1862,0.1845,0.1476,23.7468,5.9296,1.1905,0.2323
anc_asym_mig_size	Round_4_Replicate_29	-697.1	1410.2	947.21	623.46	0.493,0.274,0.1718,0.2582,16.9874,6.3883,0.5684,0.1956
anc_asym_mig_size	Round_4_Replicate_30	-619.79	1255.58	887.52	617.77	0.9517,0.4489,0.123,0.1465,15.7723,7.645,1.3757,0.1503
anc_asym_mig_size	Round_4_Replicate_31	-623.04	1262.08	856.65	508.73	0.3586,0.7944,0.193,0.1943,7.4494,5.4221,0.4962,0.195
anc_asym_mig_size	Round_4_Replicate_32	-743.08	1502.16	1375.94	581.93	0.47,0.2224,0.2398,0.3225,20.2428,7.018,0.5199,0.3196
anc_asym_mig_size	Round_4_Replicate_33	-759.47	1534.94	2056.0	735.58	0.6965,0.307,0.1894,0.131,18.8673,6.4896,0.6542,0.245
anc_asym_mig_size	Round_4_Replicate_34	-826.25	1668.5	1475.86	594.44	0.4003,0.2708,0.1229,0.3246,6.1073,5.9148,1.4851,0.2028
anc_asym_mig_size	Round_4_Replicate_35	-658.01	1332.02	1100.96	537.05	0.6567,0.2425,0.2658,0.2001,6.9741,9.2645,1.3616,0.2518
anc_asym_mig_size	Round_4_Replicate_36	-671.09	1358.18	1016.06	565.46	0.7081,0.2302,0.2066,0.2767,6.4157,3.8337,0.75,0.2311
anc_asym_mig_size	Round_4_Replicate_37	-627.06	1270.12	947.09	593.77	0.6839,0.4235,0.1757,0.183,9.5198,3.5245,0.9286,0.1944
anc_asym_mig_size	Round_4_Replicate_38	-606.37	1228.74	804.08	585.03	0.9674,0.5662,0.1091,0.1326,8.1356,2.7198,1.3911,0.1196
anc_asym_mig_size	Round_4_Replicate_39	-608.4	1232.8	862.93	535.04	1.1702,0.7383,0.1598,0.1508,17.4384,5.4332,0.5338,0.1656
anc_asym_mig_size	Round_4_Replicate_40	-617.17	1250.34	939.21	634.02	1.0531,0.2902,0.1471,0.1444,9.5926,6.191,0.6168,0.1596
