Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_23	-1447.87	2911.74	5198.59	96.46	0.1942,12.7234,5.6022,0.5333,0.1281,0.8959,3.1963,0.6928
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_24	-710.44	1436.88	1377.58	86.45	0.879,6.6702,1.8406,1.5745,0.0616,0.9665,7.8869,0.4982
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_25	-871.18	1758.36	1575.55	97.98	0.8532,5.5149,2.4206,0.7818,0.336,5.9499,1.863,0.453
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_26	-1464.72	2945.44	5010.24	66.8	0.6205,19.2299,6.627,3.4607,0.0898,0.8226,1.7436,0.952
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_27	-1179.72	2375.44	2308.17	71.62	0.4508,10.8289,1.737,4.1984,0.1067,3.2106,0.8116,0.3082
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_28	-1559.1	3134.2	18056.82	84.06	0.3376,3.732,3.1849,0.5208,0.1219,1.7956,13.4645,1.5586
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_29	-775.48	1566.96	1044.5	103.4	0.2751,27.8703,1.3141,2.0494,0.0814,1.8852,2.6705,0.2253
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_30	-1226.04	2468.08	3974.18	44.63	0.1195,27.8703,1.0582,4.5615,0.0671,12.0941,5.686,1.3113
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_1	-721.05	1458.1	1393.72	94.89	0.2429,21.6698,1.603,1.7223,0.5397,4.2742,12.0155,1.7102
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_2	-827.36	1670.72	1315.59	70.22	0.7624,8.3241,2.7309,1.7427,0.3163,9.2948,8.9455,0.8662
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_3	-746.07	1508.14	1410.31	74.18	0.3699,18.9509,1.5139,2.2781,0.227,7.4056,5.3907,1.5695
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_4	-683.16	1382.32	1037.09	90.3	0.6825,18.4756,1.9621,1.3977,0.2134,3.3247,11.1394,0.8819
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_5	-832.13	1680.26	2502.52	85.24	0.2067,22.0683,1.4361,2.1086,0.3243,4.6607,16.7443,2.144
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_6	-932.29	1880.58	5088.07	125.92	0.6216,27.7396,1.2717,1.0843,0.448,3.4162,10.1431,1.9412
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_7	-907.15	1830.3	2539.15	72.19	0.3539,26.8645,1.198,2.4864,0.1936,8.4633,5.548,1.7617
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_8	-790.38	1596.76	1231.67	87.67	0.5623,26.4886,1.069,2.1257,0.1901,6.3637,11.1571,0.7225
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_9	-693.19	1402.38	1171.8	118.59	0.6995,15.5016,1.379,1.2409,0.4529,2.7027,14.8248,1.0801
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_10	-791.17	1598.34	1134.17	80.08	0.5543,17.8547,1.8107,2.2776,0.473,3.8922,7.1571,1.2152
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_11	-696.48	1408.96	1084.36	116.9	0.6717,26.5112,1.5462,1.1546,0.391,2.7566,5.2922,0.904
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_12	-774.15	1564.3	1197.82	60.94	0.2787,11.1458,3.3405,2.4697,0.5961,2.7745,10.0884,2.1864
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_13	-877.62	1771.24	2383.71	85.57	0.3425,22.0612,1.0775,2.0758,0.2031,7.783,7.7468,1.4523
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_14	-712.88	1441.76	1333.86	62.36	0.2788,18.8065,2.8869,2.3007,0.2525,4.0785,11.9343,2.3085
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_15	-709.66	1435.32	1303.02	74.49	0.5192,11.2623,2.304,2.009,0.33,4.414,8.07,1.9716
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_16	-835.76	1687.52	1763.75	89.75	0.4207,27.9645,1.1815,2.2918,0.5262,9.6871,11.7422,1.6867
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_17	-775.1	1566.2	1075.38	105.11	0.272,24.1278,1.3511,1.6288,0.547,5.5309,9.6399,0.812
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_18	-717.81	1451.62	978.02	122.83	0.4809,19.1155,1.1642,1.331,0.6103,6.0843,7.8762,0.8236
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_19	-722.66	1461.32	1252.57	62.97	0.5812,21.422,2.7197,2.5819,0.2723,4.0483,7.1569,2.254
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_20	-720.07	1456.14	1135.42	120.87	0.2842,16.2908,1.1022,1.4388,0.4628,3.513,11.112,0.9664
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_21	-933.81	1883.62	3078.07	79.2	0.7252,15.742,3.0585,1.0772,0.1998,4.1819,9.6075,1.7539
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_22	-755.94	1527.88	1225.26	80.4	0.422,23.2514,1.6968,2.3665,0.4887,3.1229,7.9891,1.719
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_23	-750.73	1517.46	1038.28	109.74	0.2066,16.61,1.1759,1.6433,0.4682,5.2573,10.9306,0.8457
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_24	-749.88	1515.76	1074.09	87.07	0.292,9.2769,2.0659,1.7024,0.5214,3.1026,12.9494,1.19
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_25	-696.87	1409.74	1176.84	64.64	0.3018,10.4369,2.505,2.3249,0.3718,9.2376,10.3506,2.2349
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_26	-737.42	1490.84	1669.57	102.35	0.1969,10.3817,1.833,1.2084,0.3887,4.6697,6.0311,1.4964
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_27	-696.18	1408.36	998.11	88.88	0.3118,21.0293,1.6726,1.8657,0.1573,2.5962,5.4871,0.7907
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_28	-811.6	1639.2	2696.76	89.2	0.2035,11.7096,1.6192,1.6142,0.2755,5.836,5.5628,2.0781
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_29	-1043.35	2102.7	2618.42	65.53	0.2239,12.4008,2.8298,2.1969,0.5053,8.7981,12.3142,0.8957
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_30	-714.97	1445.94	1062.51	79.19	0.619,16.3818,2.3774,1.6833,0.3226,3.2289,16.4482,1.2914
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_31	-752.35	1520.7	1872.54	100.69	0.2631,8.8896,1.5192,1.5664,0.3887,3.1679,6.0867,1.7284
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_32	-730.63	1477.26	1361.25	100.39	0.3613,23.9544,2.009,1.2766,0.6723,4.5616,9.0874,1.5303
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_33	-784.5	1585.0	1155.04	67.5	0.5486,20.2725,2.7906,2.1204,0.2844,2.739,12.7631,1.1508
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_34	-1126.86	2269.72	3356.07	59.69	0.2785,12.5749,2.6012,2.8458,0.4963,9.609,14.344,0.9115
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_35	-713.67	1443.34	1071.39	128.02	0.357,15.3365,1.4743,0.9824,0.587,7.2031,8.5642,0.8071
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_36	-778.76	1573.52	1524.09	97.11	0.7052,8.4467,1.2519,1.9799,0.4807,3.2119,14.0704,1.5306
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_37	-696.26	1408.52	1136.31	77.56	0.3844,9.8527,2.081,1.9728,0.2692,4.478,7.7516,1.5583
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_38	-705.45	1426.9	1271.76	69.02	0.7674,12.9059,2.598,2.0231,0.2688,5.595,7.129,1.9663
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_39	-848.48	1712.96	1378.4	65.83	0.4696,22.7485,2.7651,2.0633,0.2383,4.7148,21.8998,0.7334
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_40	-772.72	1561.44	1425.79	68.19	0.5709,18.377,1.8623,2.8499,0.4305,2.6041,17.0792,2.2404
