Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_4_Replicate_29	-629.76	1273.52	745.64	488.33	2.8764,0.3877,0.087,0.1577,3.384,0.5762,0.0867
anc_sym_mig_size	Round_4_Replicate_30	-594.15	1202.3	783.45	528.35	1.9788,0.2636,0.1025,0.1679,2.0041,0.5175,0.1014
anc_sym_mig_size	Round_4_Replicate_31	-600.72	1215.44	949.62	468.21	4.6566,0.3045,0.1071,0.1394,1.9019,1.2613,0.1119
anc_sym_mig_size	Round_4_Replicate_32	-598.07	1210.14	883.84	491.1	2.5038,0.3361,0.1182,0.1401,2.6837,1.1632,0.123
anc_sym_mig_size	Round_4_Replicate_33	-630.79	1275.58	1066.15	493.15	7.3347,0.1824,0.1548,0.2345,2.1103,0.6872,0.1663
anc_sym_mig_size	Round_4_Replicate_34	-599.24	1212.48	819.7	497.87	1.8883,0.4956,0.0854,0.0962,5.0505,1.2225,0.0906
anc_sym_mig_size	Round_4_Replicate_35	-611.37	1236.74	808.43	510.12	2.6566,0.4359,0.1148,0.1708,3.5269,0.4256,0.1323
anc_sym_mig_size	Round_4_Replicate_36	-664.15	1342.3	813.3	481.83	2.9003,0.4599,0.1134,0.1996,5.8515,0.3757,0.1214
anc_sym_mig_size	Round_4_Replicate_37	-591.67	1197.34	718.06	566.07	3.9046,0.186,0.0692,0.156,2.3937,0.4232,0.0671
anc_sym_mig_size	Round_4_Replicate_38	-594.35	1202.7	770.3	604.32	2.1028,0.2228,0.0818,0.1203,3.6477,0.4093,0.0834
anc_sym_mig_size	Round_4_Replicate_39	-605.12	1224.24	823.64	653.68	3.7496,0.1479,0.0999,0.1564,5.0291,0.9552,0.108
anc_sym_mig_size	Round_4_Replicate_40	-591.34	1196.68	797.75	449.65	2.3871,0.3694,0.116,0.1794,1.7692,1.0566,0.1198
