Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m1, m2, T1, T2)
sym_mig_twoepoch	Round_4_Replicate_16	-677.23	1366.46	849.9	378.74	0.3049,0.3312,4.7747,0.3821,0.0118,3.4317
sym_mig_twoepoch	Round_4_Replicate_17	-679.44	1370.88	854.45	191.58	0.5825,0.69,5.4669,0.1791,0.0178,6.9355
sym_mig_twoepoch	Round_4_Replicate_18	-668.52	1349.04	877.76	450.79	0.2782,0.2409,1.8497,0.469,0.035,6.6315
sym_mig_twoepoch	Round_4_Replicate_19	-668.97	1349.94	935.18	346.87	0.389,0.283,3.4026,0.3465,0.0121,7.2578
sym_mig_twoepoch	Round_4_Replicate_20	-671.81	1355.62	885.59	170.83	1.0855,0.6554,2.5289,0.143,0.0119,4.5167
sym_mig_twoepoch	Round_4_Replicate_21	-683.61	1379.22	1082.66	169.06	0.9475,0.5459,4.3752,0.113,0.0113,6.1884
sym_mig_twoepoch	Round_4_Replicate_22	-716.32	1444.64	952.07	212.37	0.7949,0.5416,3.0863,0.2442,0.0291,4.4208
sym_mig_twoepoch	Round_4_Replicate_23	-656.03	1324.06	857.69	332.13	0.3993,0.3417,1.5366,0.2938,0.0114,3.1422
sym_mig_twoepoch	Round_4_Replicate_24	-778.02	1568.04	1246.39	233.07	0.9618,0.3784,2.8241,0.246,0.046,3.0743
sym_mig_twoepoch	Round_4_Replicate_25	-725.97	1463.94	1064.88	258.71	0.7733,0.3743,3.2335,0.2634,0.0461,2.8648
sym_mig_twoepoch	Round_4_Replicate_26	-640.42	1292.84	790.32	262.81	0.563,0.5413,3.7942,0.1487,0.0647,2.1439
sym_mig_twoepoch	Round_4_Replicate_27	-655.07	1322.14	837.73	204.37	0.6577,0.575,1.7563,0.1813,0.0388,5.5846
sym_mig_twoepoch	Round_4_Replicate_28	-661.77	1335.54	904.33	300.13	0.4194,0.3629,4.5356,0.254,0.0103,4.248
