Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_3_Replicate_26	-1130.03	2274.06	3481.05	96.35	0.4462,1.0115,2.7544,0.3705,0.0794,1.0719,10.4012
sec_contact_sym_mig_size	Round_3_Replicate_27	-1474.18	2962.36	5445.59	157.71	1.1663,5.1083,0.5533,0.2677,0.05,1.555,8.6405
sec_contact_sym_mig_size	Round_3_Replicate_28	-1032.49	2078.98	2152.92	144.03	0.3772,1.6731,3.3124,0.5421,0.0388,1.5244,1.5675
sec_contact_sym_mig_size	Round_3_Replicate_29	-663.08	1340.16	815.39	159.79	0.1464,1.3255,0.782,0.9498,0.1059,0.4004,4.5773
sec_contact_sym_mig_size	Round_3_Replicate_30	-936.25	1886.5	1676.36	120.45	0.8374,1.8017,1.0982,1.308,0.2038,0.4877,9.131
sec_contact_sym_mig_size	Round_4_Replicate_1	-657.07	1328.14	876.92	98.58	0.6212,10.7336,1.3765,1.1045,0.0878,0.8838,13.7433
sec_contact_sym_mig_size	Round_4_Replicate_2	-642.59	1299.18	828.32	66.51	1.5055,4.4984,2.2777,2.0219,0.036,0.7234,11.8211
sec_contact_sym_mig_size	Round_4_Replicate_3	-725.2	1464.4	994.28	86.03	1.5817,6.5042,1.1159,1.8802,0.057,2.1565,8.9312
sec_contact_sym_mig_size	Round_4_Replicate_4	-638.61	1291.22	808.55	125.83	1.0989,11.1103,1.3428,1.0323,0.0714,0.6624,5.0572
sec_contact_sym_mig_size	Round_4_Replicate_5	-708.94	1431.88	908.0	98.14	1.7662,3.0238,1.1418,1.88,0.0544,1.3529,5.8082
sec_contact_sym_mig_size	Round_4_Replicate_6	-637.76	1289.52	790.05	58.39	1.7786,9.1806,2.7921,2.3206,0.0335,1.8906,11.6878
sec_contact_sym_mig_size	Round_4_Replicate_7	-662.94	1339.88	830.01	81.78	1.7666,10.518,2.0377,2.109,0.0285,0.8403,6.225
sec_contact_sym_mig_size	Round_4_Replicate_8	-650.15	1314.3	788.49	71.3	1.8068,3.0397,2.7271,2.0909,0.0311,0.689,7.8252
sec_contact_sym_mig_size	Round_4_Replicate_9	-720.4	1454.8	1129.61	96.15	0.8203,10.0457,2.3531,0.9449,0.0674,1.1664,6.9544
sec_contact_sym_mig_size	Round_4_Replicate_10	-646.79	1307.58	812.09	71.27	1.0713,6.052,2.0664,2.0947,0.0355,1.5185,9.1153
sec_contact_sym_mig_size	Round_4_Replicate_11	-650.9	1315.8	828.64	111.24	1.0513,8.1421,1.221,1.088,0.0914,2.0429,7.5934
sec_contact_sym_mig_size	Round_4_Replicate_12	-643.76	1301.52	799.34	105.55	1.4492,5.0705,1.7968,1.2813,0.0537,0.6349,5.4281
sec_contact_sym_mig_size	Round_4_Replicate_13	-651.98	1317.96	768.19	67.08	2.1092,6.2945,2.2776,2.4788,0.0335,1.3753,8.588
sec_contact_sym_mig_size	Round_4_Replicate_14	-693.68	1401.36	873.41	69.13	2.4921,3.3985,1.561,2.2326,0.0544,2.0419,12.8468
sec_contact_sym_mig_size	Round_4_Replicate_15	-682.59	1379.18	1076.77	100.61	1.2311,9.9636,1.6581,0.9229,0.0659,1.6498,8.6884
sec_contact_sym_mig_size	Round_4_Replicate_16	-657.28	1328.56	793.94	66.0	1.5291,4.7362,1.9727,2.1862,0.0491,0.9778,13.3701
sec_contact_sym_mig_size	Round_4_Replicate_17	-658.66	1331.32	838.98	80.84	0.7925,5.4195,1.7679,1.9912,0.0355,1.6707,6.9817
sec_contact_sym_mig_size	Round_4_Replicate_18	-638.3	1290.6	789.74	62.2	0.6635,4.1564,2.756,2.1798,0.0344,0.9515,11.2618
sec_contact_sym_mig_size	Round_4_Replicate_19	-658.43	1330.86	944.46	87.78	1.3961,9.1102,1.7661,1.1883,0.0605,0.5438,11.6675
sec_contact_sym_mig_size	Round_4_Replicate_20	-730.02	1474.04	998.06	92.34	0.7169,3.0719,0.9699,1.5755,0.0791,1.3778,14.2212
