Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_2_Replicate_18	-892.17	1800.34	1753.53	307.96	13.953,5.3444,0.2016,0.466,0.0524,0.145,0.9354,0.5713
asym_mig_size	Round_2_Replicate_19	-1425.51	2867.02	4759.17	309.28	1.0494,4.5305,0.1378,0.265,0.2126,0.0351,2.4165,1.5214
asym_mig_size	Round_2_Replicate_20	-821.56	1659.12	1357.08	246.62	1.8436,0.6128,0.3021,0.4913,0.1623,0.2171,3.2281,3.6174
asym_mig_size	Round_3_Replicate_1	-1489.74	2995.48	7651.78	127.03	3.6007,27.8703,1.7863,0.1223,0.0335,0.1381,5.2246,0.8683
asym_mig_size	Round_3_Replicate_2	-1169.47	2354.94	2896.56	181.96	3.7327,21.6894,1.4774,0.1618,0.0669,0.2152,1.1837,0.1466
asym_mig_size	Round_3_Replicate_3	-670.2	1356.4	930.36	151.32	0.6914,7.8651,1.1736,0.4869,0.056,0.1529,4.9473,0.7386
asym_mig_size	Round_3_Replicate_4	-1046.47	2108.94	3291.2	190.66	1.8191,9.7709,1.5096,0.1238,0.0289,0.0288,2.1741,0.2428
asym_mig_size	Round_3_Replicate_5	-529.27	1074.54	611.94	77.11	3.51,7.0058,0.3527,0.3484,0.0904,0.0189,8.9431,0.1648
asym_mig_size	Round_3_Replicate_6	-802.07	1620.14	1158.24	242.83	0.6141,2.5159,0.3979,0.8487,0.0883,0.0443,0.7184,0.4366
asym_mig_size	Round_3_Replicate_7	-975.88	1967.76	2637.88	158.31	3.1879,7.929,0.2582,0.3433,0.0311,0.0517,5.1098,0.4918
asym_mig_size	Round_3_Replicate_8	-649.29	1314.58	872.61	362.25	0.5054,16.9831,0.2721,0.2328,0.073,0.1094,0.5862,0.186
asym_mig_size	Round_3_Replicate_9	-1073.64	2163.28	2576.1	173.79	0.3391,26.8619,0.4112,0.6517,0.0205,0.1198,4.536,1.5158
asym_mig_size	Round_3_Replicate_10	-721.74	1459.48	1096.71	295.04	1.9156,13.6554,0.5593,0.2003,0.0161,0.2029,0.6831,0.2086
asym_mig_size	Round_3_Replicate_11	-892.3	1800.6	1569.45	173.17	0.4372,21.6932,0.4784,0.8667,0.0476,0.1288,2.6914,1.0447
asym_mig_size	Round_3_Replicate_12	-1561.34	3138.68	7736.17	238.85	0.2981,3.5315,0.2053,0.1079,0.0636,0.0146,4.1733,0.2076
asym_mig_size	Round_3_Replicate_13	-786.98	1589.96	1731.14	232.42	0.6298,2.698,0.9334,0.4524,0.0278,0.039,1.099,0.9601
asym_mig_size	Round_3_Replicate_14	-1129.04	2274.08	4177.53	123.79	3.4574,27.8703,0.5226,0.1069,0.0229,0.0842,7.6727,0.2971
asym_mig_size	Round_3_Replicate_15	-1071.54	2159.08	3025.72	207.03	0.2963,3.2903,1.2045,0.1793,0.0663,0.1822,5.1637,1.0234
asym_mig_size	Round_3_Replicate_16	-908.84	1833.68	1848.65	215.11	0.9491,5.09,0.4391,0.4529,0.05,0.1188,2.9658,1.4658
asym_mig_size	Round_3_Replicate_17	-667.83	1351.66	1106.91	275.54	0.3266,5.6505,0.4017,0.188,0.1833,0.0177,1.4846,0.1459
asym_mig_size	Round_3_Replicate_18	-1360.04	2736.08	3899.97	161.86	0.3743,4.9455,2.9088,1.0461,0.1105,0.1714,1.1943,0.1854
asym_mig_size	Round_3_Replicate_19	-726.68	1469.36	1062.77	97.12	0.7849,4.7049,0.6239,1.1476,0.1087,0.0204,6.1681,0.3446
asym_mig_size	Round_3_Replicate_20	-838.95	1693.9	1469.74	176.33	2.1013,4.0116,1.6569,0.2988,0.0101,0.0431,1.5447,0.233
asym_mig_size	Round_3_Replicate_21	-1800.4	3616.8	23685.89	162.21	2.3318,3.0112,2.6762,1.0455,0.1181,0.0651,0.6152,0.3405
asym_mig_size	Round_3_Replicate_22	-1486.32	2988.64	6206.26	247.06	1.9421,25.8756,0.3104,0.2885,0.0171,0.0636,2.4497,1.5356
asym_mig_size	Round_3_Replicate_23	-570.93	1157.86	766.38	236.05	0.9195,2.7527,0.3886,0.1957,0.1164,0.0389,1.6941,0.1132
asym_mig_size	Round_3_Replicate_24	-831.91	1679.82	1473.48	212.46	0.8187,6.4523,0.3523,0.8424,0.1028,0.0613,1.355,1.4172
