Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s)
vic_no_mig	Round_4_Replicate_19	-618.47	1246.94	924.54	649.16	0.2037,0.2686,1.1376,0.1084,0.4351
vic_no_mig	Round_4_Replicate_20	-610.46	1230.92	859.56	609.89	0.2644,0.2987,0.6901,0.1477,0.4898
vic_no_mig	Round_4_Replicate_21	-619.45	1248.9	859.73	708.92	0.1096,0.3477,1.5475,0.0548,0.4689
vic_no_mig	Round_4_Replicate_22	-609.81	1229.62	856.72	671.14	0.171,0.3324,0.8515,0.0909,0.4704
vic_no_mig	Round_4_Replicate_23	-610.19	1230.38	881.97	645.56	0.2189,0.2179,0.6758,0.1247,0.485
vic_no_mig	Round_4_Replicate_24	-608.62	1227.24	829.67	671.08	0.1677,0.1743,0.7254,0.0883,0.4853
vic_no_mig	Round_4_Replicate_25	-612.77	1235.54	863.88	586.83	0.2982,0.1004,0.5889,0.1632,0.4741
vic_no_mig	Round_4_Replicate_26	-616.15	1242.3	864.22	567.79	0.3283,0.2533,0.6102,0.177,0.4691
vic_no_mig	Round_4_Replicate_27	-609.01	1228.02	819.23	665.3	0.1708,0.3899,0.9685,0.0883,0.4851
vic_no_mig	Round_4_Replicate_28	-608.28	1226.56	837.11	669.88	0.1756,0.2307,1.4533,0.0952,0.4935
vic_no_mig	Round_4_Replicate_29	-610.03	1230.06	847.91	666.87	0.1728,0.3097,1.0279,0.0904,0.4696
vic_no_mig	Round_4_Replicate_30	-607.57	1225.14	829.94	652.91	0.1941,0.1177,0.5583,0.1034,0.486
vic_no_mig	Round_4_Replicate_31	-609.04	1228.08	814.65	664.72	0.1707,0.2818,0.5672,0.0881,0.488
vic_no_mig	Round_4_Replicate_32	-615.86	1241.72	850.93	568.52	0.3266,0.3709,1.2962,0.1787,0.4944
vic_no_mig	Round_4_Replicate_33	-610.06	1230.12	831.31	618.84	0.2379,0.1554,0.8676,0.1236,0.4704
vic_no_mig	Round_4_Replicate_34	-616.56	1243.12	877.37	572.84	0.3247,0.3804,1.331,0.1833,0.4948
vic_no_mig	Round_4_Replicate_35	-627.63	1265.26	901.72	562.03	0.3346,0.1211,0.6295,0.171,0.4286
vic_no_mig	Round_4_Replicate_36	-614.28	1238.56	901.89	601.04	0.2808,0.2263,1.0995,0.1565,0.4574
vic_no_mig	Round_4_Replicate_37	-618.71	1247.42	887.3	702.35	0.1244,0.0957,1.1138,0.0637,0.4566
vic_no_mig	Round_4_Replicate_38	-608.01	1226.02	832.25	660.59	0.1827,0.1961,0.9032,0.0967,0.4827
vic_no_mig	Round_4_Replicate_39	-613.97	1237.94	855.63	577.33	0.313,0.1814,0.6421,0.1718,0.4867
vic_no_mig	Round_4_Replicate_40	-611.93	1233.86	836.88	656.44	0.1791,0.2529,0.9671,0.0908,0.4655
