Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m12, m21, T1, T2, s)
vic_sec_contact_asym_mig	Round_4_Replicate_10	-698.76	1413.52	895.81	314.46	1.1392,6.2508,16.4124,0.3475,0.1025,0.615,0.0849,0.3976
vic_sec_contact_asym_mig	Round_4_Replicate_11	-749.87	1515.74	1520.36	192.19	1.8151,4.4482,16.3186,0.5178,0.1352,2.259,0.0564,0.3844
vic_sec_contact_asym_mig	Round_4_Replicate_12	-716.83	1449.66	1116.06	294.81	1.0154,5.4974,11.4105,0.3867,0.154,1.3938,0.1285,0.4061
vic_sec_contact_asym_mig	Round_4_Replicate_13	-672.98	1361.96	850.89	343.82	0.9643,6.5539,8.7919,0.5294,0.1305,0.6299,0.0874,0.4079
vic_sec_contact_asym_mig	Round_4_Replicate_14	-700.05	1416.1	969.86	318.94	0.9074,15.9188,14.3119,0.5338,0.1233,1.2054,0.1473,0.4827
vic_sec_contact_asym_mig	Round_4_Replicate_15	-749.39	1514.78	1200.77	321.64	0.7918,15.3582,16.682,0.3498,0.1508,1.469,0.2056,0.4753
vic_sec_contact_asym_mig	Round_4_Replicate_16	-913.95	1843.9	3141.94	324.63	0.8118,6.7442,15.9623,0.4734,0.2062,1.583,0.0451,0.3592
vic_sec_contact_asym_mig	Round_4_Replicate_17	-770.35	1556.7	1391.54	241.46	1.1671,7.3705,14.4741,0.5185,0.2012,2.1899,0.0922,0.4556
vic_sec_contact_asym_mig	Round_4_Replicate_18	-836.65	1689.3	1713.91	269.01	0.988,13.0971,12.1707,0.6264,0.1026,2.0242,0.0831,0.4585
vic_sec_contact_asym_mig	Round_4_Replicate_19	-691.13	1398.26	960.05	213.44	1.6666,11.722,16.1936,0.3699,0.0908,1.6616,0.0849,0.4775
vic_sec_contact_asym_mig	Round_4_Replicate_20	-752.79	1521.58	994.39	259.13	1.4463,9.5266,16.131,0.4961,0.259,0.8984,0.0973,0.4607
vic_sec_contact_asym_mig	Round_4_Replicate_21	-704.77	1425.54	1187.23	262.33	1.299,7.017,17.1954,0.218,0.3061,1.3608,0.0439,0.3926
vic_sec_contact_asym_mig	Round_4_Replicate_22	-677.36	1370.72	860.95	304.77	1.1682,10.7211,17.3361,0.4272,0.1261,0.7267,0.0421,0.4276
vic_sec_contact_asym_mig	Round_4_Replicate_23	-952.75	1921.5	2163.7	308.48	0.7694,7.3548,17.0133,0.2202,0.191,1.908,0.1135,0.3304
vic_sec_contact_asym_mig	Round_4_Replicate_24	-686.61	1389.22	989.5	385.19	0.7773,10.9959,10.3561,0.8394,0.1138,0.7059,0.0524,0.4266
vic_sec_contact_asym_mig	Round_4_Replicate_25	-987.27	1990.54	2863.02	329.21	0.7288,14.5317,18.4809,0.3988,0.1312,1.7233,0.063,0.3769
vic_sec_contact_asym_mig	Round_4_Replicate_26	-684.16	1384.32	902.92	254.82	1.2836,15.8735,16.8632,0.3023,0.3021,1.4648,0.0987,0.464
vic_sec_contact_asym_mig	Round_4_Replicate_27	-1010.85	2037.7	2343.89	359.54	0.6322,6.399,17.0133,0.7248,0.1412,1.5837,0.0794,0.3469
vic_sec_contact_asym_mig	Round_4_Replicate_28	-717.24	1450.48	1015.3	207.96	1.675,4.0484,13.0292,0.5864,0.3087,1.8909,0.0653,0.4478
vic_sec_contact_asym_mig	Round_4_Replicate_29	-694.8	1405.6	999.65	210.76	1.7206,6.3976,17.1665,0.3942,0.2757,1.6792,0.0452,0.4541
vic_sec_contact_asym_mig	Round_4_Replicate_30	-628.34	1272.68	765.95	361.36	0.8715,3.8358,8.1602,0.4707,0.2936,0.6396,0.0339,0.4664
vic_sec_contact_asym_mig	Round_4_Replicate_31	-662.55	1341.1	861.19	318.32	0.997,4.094,9.4264,0.5899,0.2655,0.9946,0.0562,0.464
vic_sec_contact_asym_mig	Round_4_Replicate_32	-634.61	1285.22	810.07	376.94	0.8061,4.4749,16.2569,0.7235,0.2185,0.6476,0.0316,0.4813
vic_sec_contact_asym_mig	Round_4_Replicate_33	-708.42	1432.84	887.09	272.31	1.3514,6.0891,15.8365,0.8202,0.1445,0.8728,0.0362,0.4768
vic_sec_contact_asym_mig	Round_4_Replicate_34	-695.18	1406.36	956.37	187.84	1.9048,6.1996,17.3387,0.3807,0.1313,2.0431,0.0943,0.4747
vic_sec_contact_asym_mig	Round_4_Replicate_35	-690.07	1396.14	883.38	254.08	1.3252,8.8454,18.8786,0.6287,0.1418,1.3598,0.0809,0.4922
vic_sec_contact_asym_mig	Round_4_Replicate_36	-750.38	1516.76	1034.25	326.99	0.8426,6.6526,16.6425,0.8731,0.2544,1.3026,0.1182,0.496
vic_sec_contact_asym_mig	Round_4_Replicate_37	-859.02	1734.04	1381.06	217.92	1.8255,5.2195,16.1211,0.87,0.2085,1.1551,0.0854,0.4757
vic_sec_contact_asym_mig	Round_4_Replicate_38	-753.2	1522.4	1120.65	242.52	1.6778,4.4796,13.1417,0.1953,0.1257,1.0482,0.0536,0.3214
vic_sec_contact_asym_mig	Round_4_Replicate_39	-842.64	1701.28	1800.41	320.38	0.8242,4.2294,17.4915,0.6124,0.0908,1.5311,0.0726,0.4627
vic_sec_contact_asym_mig	Round_4_Replicate_40	-705.28	1426.56	1020.13	195.53	1.838,8.3167,11.4172,0.4482,0.0976,1.922,0.0787,0.4637
