Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T1, T2, s, f)
vic_two_epoch_admix	Round_4_Replicate_28	-647.81	1309.62	896.23	516.38	0.4597,0.419,1.3603,0.2001,0.0824,0.3782,0.1104
vic_two_epoch_admix	Round_4_Replicate_29	-677.52	1369.04	1013.72	419.03	0.6974,0.3952,3.2331,0.1466,0.2565,0.4322,0.1213
vic_two_epoch_admix	Round_4_Replicate_30	-854.11	1722.22	1489.96	390.25	0.8799,0.6793,4.7578,0.1192,0.2133,0.2557,0.117
vic_two_epoch_admix	Round_4_Replicate_31	-623.88	1261.76	855.04	553.94	0.3722,1.4076,1.8221,0.0937,0.1285,0.4747,0.0997
vic_two_epoch_admix	Round_4_Replicate_32	-655.44	1324.88	1063.56	466.21	0.5608,1.0009,2.2085,0.1213,0.2319,0.4624,0.07
vic_two_epoch_admix	Round_4_Replicate_33	-664.15	1342.3	1080.18	446.41	0.6167,0.4528,2.5838,0.1121,0.2743,0.4461,0.1161
vic_two_epoch_admix	Round_4_Replicate_34	-647.17	1308.34	953.11	481.76	0.5299,0.9492,1.6931,0.1558,0.1839,0.4542,0.1281
vic_two_epoch_admix	Round_4_Replicate_35	-640.47	1294.94	984.13	500.01	0.4797,1.0451,3.3466,0.1478,0.1513,0.4729,0.0449
vic_two_epoch_admix	Round_4_Replicate_36	-651.21	1316.42	1162.05	572.23	0.3623,0.4253,2.2776,0.0509,0.1873,0.415,0.1027
vic_two_epoch_admix	Round_4_Replicate_37	-768.83	1551.66	1154.21	355.78	0.956,1.3729,1.5738,0.1271,0.2995,0.4108,0.087
vic_two_epoch_admix	Round_4_Replicate_38	-676.08	1366.16	1226.69	500.04	0.5107,0.7631,1.6993,0.193,0.1722,0.3714,0.1235
vic_two_epoch_admix	Round_4_Replicate_39	-727.56	1469.12	1122.72	358.85	0.9293,1.3306,1.7615,0.1463,0.336,0.419,0.0856
vic_two_epoch_admix	Round_4_Replicate_40	-748.5	1511.0	1187.45	419.39	0.7167,0.367,4.1444,0.0779,0.2338,0.3309,0.0556
