Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
vic_no_mig_admix_late	Round_4_Replicate_26	-644.56	1301.12	835.75	512.93	0.443,0.6391,0.0563,0.2614,0.4802,0.0128
vic_no_mig_admix_late	Round_4_Replicate_27	-682.2	1376.4	975.33	657.51	0.2377,1.9859,0.0841,0.1622,0.4843,0.0174
vic_no_mig_admix_late	Round_4_Replicate_28	-619.21	1250.42	804.95	585.18	0.3137,0.7095,0.0982,0.1862,0.4819,0.01
vic_no_mig_admix_late	Round_4_Replicate_29	-625.77	1263.54	836.81	699.27	0.1567,1.5455,0.1323,0.0908,0.4842,0.0102
vic_no_mig_admix_late	Round_4_Replicate_30	-635.19	1282.38	819.25	592.54	0.2987,1.1908,0.1493,0.1747,0.4836,0.0132
vic_no_mig_admix_late	Round_4_Replicate_31	-731.34	1474.68	1251.35	596.55	0.2785,1.2573,0.1243,0.1347,0.3216,0.0137
vic_no_mig_admix_late	Round_4_Replicate_32	-650.18	1312.36	974.46	629.37	0.2784,1.3695,0.1306,0.1951,0.4644,0.0127
vic_no_mig_admix_late	Round_4_Replicate_33	-638.44	1288.88	888.92	637.44	0.2261,0.8444,0.0473,0.124,0.4285,0.0111
vic_no_mig_admix_late	Round_4_Replicate_34	-619.49	1250.98	820.68	588.03	0.3132,1.9037,0.1121,0.1893,0.4734,0.0101
vic_no_mig_admix_late	Round_4_Replicate_35	-670.52	1353.04	922.64	574.29	0.301,0.6615,0.0701,0.144,0.4058,0.0131
vic_no_mig_admix_late	Round_4_Replicate_36	-630.1	1272.2	828.7	571.21	0.3384,1.8223,0.1748,0.2025,0.4708,0.012
vic_no_mig_admix_late	Round_4_Replicate_37	-687.13	1386.26	906.16	612.17	0.2594,0.8569,0.1444,0.1436,0.4761,0.018
vic_no_mig_admix_late	Round_4_Replicate_38	-628.27	1268.54	845.34	698.51	0.1542,0.5255,0.1048,0.0878,0.4742,0.0105
vic_no_mig_admix_late	Round_4_Replicate_39	-624.02	1260.04	851.12	554.73	0.3734,1.0881,0.0667,0.2306,0.455,0.0102
vic_no_mig_admix_late	Round_4_Replicate_40	-630.5	1273.0	847.59	569.86	0.3454,0.9255,0.1034,0.2122,0.464,0.0119
